Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/26/2021,11/28/2021,LEMONADE INSURANCE,Bills & Utilities,Sale,-26.42,
11/26/2021,11/28/2021,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
11/25/2021,11/26/2021,RITE AID 10920,Health & Wellness,Sale,-0.81,
11/24/2021,11/26/2021,THAI TAMARIND,Food & Drink,Sale,-19.69,
11/24/2021,11/25/2021,KUHN'S BELLEVUE,Groceries,Sale,-10.19,
11/23/2021,11/24/2021,KUHN'S BELLEVUE,Groceries,Sale,-16.59,
11/23/2021,11/24/2021,JOHN S. WARWICK III DM,Health & Wellness,Sale,-64.00,
11/21/2021,11/22/2021,Amazon.com*W82TD4MZ3,Shopping,Sale,-18.11,
11/09/2021,11/09/2021,Payment Thank You-Mobile,,Payment,733.72,
11/06/2021,11/07/2021,AMZN Mktp US,Shopping,Return,16.91,
11/06/2021,11/07/2021,AMZN Mktp US,Shopping,Return,12.58,
10/16/2021,11/03/2021,KENNYWOOD WEB,Entertainment,Sale,-12.00,
11/02/2021,11/03/2021,AMZN Mktp US,Shopping,Return,29.99,
10/26/2021,10/27/2021,LEMONADE I* LEMONADE I,Bills & Utilities,Sale,-19.59,
10/26/2021,10/27/2021,LEMONADE INSURANCE,Bills & Utilities,Sale,-26.42,
10/25/2021,10/26/2021,KUHN'S BELLEVUE,Groceries,Sale,-19.33,
10/24/2021,10/25/2021,CRACKER BARREL #480 PI,Food & Drink,Sale,-11.76,
10/22/2021,10/24/2021,KUHN'S BELLEVUE,Groceries,Sale,-20.56,
10/21/2021,10/22/2021,AMZN Mktp US,Shopping,Return,13.95,
10/21/2021,10/22/2021,Amazon.com*2Y3E09Q21,Shopping,Sale,-18.11,
10/21/2021,10/22/2021,ConverseUS,Shopping,Sale,-138.75,
10/21/2021,10/22/2021,KUHN'S BELLEVUE,Groceries,Sale,-9.74,
10/21/2021,10/22/2021,FAMILY DOLLAR #5518,Shopping,Sale,-1.07,
10/19/2021,10/20/2021,KUHN'S BELLEVUE,Groceries,Sale,-2.89,
10/19/2021,10/20/2021,KUHN'S BELLEVUE,Groceries,Sale,-11.91,
10/18/2021,10/19/2021,KUHN'S BELLEVUE,Groceries,Sale,-48.97,
10/17/2021,10/18/2021,KUHN'S BELLEVUE,Groceries,Sale,-5.99,
10/14/2021,10/15/2021,AMZN Mktp US*272104IE0,Shopping,Sale,-13.95,
10/13/2021,10/14/2021,RITE AID 10920,Health & Wellness,Sale,-1.41,
10/13/2021,10/14/2021,KUHN'S BELLEVUE,Groceries,Sale,-29.52,
10/12/2021,10/13/2021,AMZN Mktp US*274I97KQ1,Shopping,Sale,-30.47,
10/12/2021,10/12/2021,AMZN Mktp US*275DB38Z0,Shopping,Sale,-29.99,
10/11/2021,10/12/2021,AMZN Mktp US*272JK4QM1,Shopping,Sale,-19.99,
10/11/2021,10/12/2021,Amazon.com*275448MP0,Shopping,Sale,-10.59,
10/11/2021,10/12/2021,AMZN Mktp US,Shopping,Return,35.99,
10/11/2021,10/12/2021,AMZN Mktp US*271MR3TX2,Shopping,Sale,-12.58,
10/09/2021,10/11/2021,FAMILY DOLLAR #5518,Shopping,Sale,-14.95,
10/09/2021,10/11/2021,PORT AUTHORITY E COMME,Travel,Sale,-20.00,
10/10/2021,10/11/2021,KUHN'S BELLEVUE,Groceries,Sale,-31.69,
10/11/2021,10/11/2021,PHE*ADAM MAIL,Shopping,Sale,-22.77,
10/09/2021,10/10/2021,COMCAST THREE RIVERS,Bills & Utilities,Sale,-54.97,
10/08/2021,10/08/2021,AMZN Mktp US*270EY41U1,Shopping,Sale,-58.98,
10/06/2021,10/08/2021,MULLANEY'S HARP &amp; FIDD,Food & Drink,Sale,-19.20,
10/07/2021,10/08/2021,MUDDY CUP,Food & Drink,Sale,-1.87,
10/07/2021,10/08/2021,KUHN'S BELLEVUE,Groceries,Sale,-15.18,
10/06/2021,10/07/2021,FAMILY DOLLAR #5518,Shopping,Sale,-7.49,
10/05/2021,10/06/2021,AMZ*Scentbird,Shopping,Sale,-16.91,
10/05/2021,10/06/2021,AMZN Mktp US*279413C00,Shopping,Sale,-36.02,
10/05/2021,10/06/2021,FAMILY DOLLAR #5518,Shopping,Sale,-19.26,
10/04/2021,10/05/2021,KUHN'S BELLEVUE,Groceries,Sale,-28.26,
